

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS) (Margin)", -NVDA260306C182.5,"CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS)",Margin,2.15,1,0.65,0.02,,-215.67,Processing,03/05/2026
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS) (Margin)", -HOOD260306C84,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS)",Margin,1.61,-5,3.25,0.11,,801.64,Processing,03/05/2026
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS) (Margin)", -NVDA260306C182.5,"CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS)",Margin,2.89,-1,0.65,0.02,,288.33,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS) (Margin)", -NVDA260306P177.5,"PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS)",Margin,1.3,2,1.3,0.05,,-261.35,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $82 (100 SHS) (Margin)", -HOOD260306C82,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $82 (100 SHS)",Margin,1.5,5,3.25,0.11,,-753.36,Processing,03/05/2026
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $82 (100 SHS) (Margin)", -HOOD260306C82,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $82 (100 SHS)",Margin,1.75,-5,3.25,0.11,,871.64,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (PLTR) PALANTIR JAN 21 28 $80 (100 SHS) (Margin)", -PLTR280121P80,"PUT (PLTR) PALANTIR JAN 21 28 $80 (100 SHS)",Margin,10.95,3,1.95,0.07,,-3287.02,Processing,03/05/2026
03/04/2026,"JOURNALED JNL VS A/C TYPES (Cash)",,"No Description",Cash,,0.000,,,,-15947.47,Processing,
03/04/2026,"JOURNALED JNL VS A/C TYPES (Margin)",,"No Description",Margin,,0.000,,,,15947.47,Processing,
03/03/2026,"YOU SOLD OPENING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS) (Margin)", -NVDA260306P177.5,"PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS)",Margin,3.13,-1,0.65,0.02,,312.33,56900.58,03/04/2026
03/03/2026,"YOU SOLD OPENING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS) (Margin)", -NVDA260306P177.5,"PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS)",Margin,3.6,-1,0.65,0.02,,359.33,56588.25,03/04/2026
03/03/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 13 26 $80 (100 SHS) (Margin)", -HOOD260313C80,"CALL (HOOD) ROBINHOOD MKTS INC MAR 13 26 $80 (100 SHS)",Margin,1.36,5,3.25,0.11,,-683.36,56228.92,03/04/2026
03/03/2026,"YOU SOLD OPENING TRANSACTION PUT (GOOGL) ALPHABET INC CAP STK MAR 19 27 $290 (100 SHS) (Margin)", -GOOGL270319P290,"PUT (GOOGL) ALPHABET INC CAP STK MAR 19 27 $290 (100 SHS)",Margin,36.05,-1,0.65,0.02,,3604.33,56912.28,03/04/2026
03/02/2026,"ASSIGNED as of Feb-27-2026 CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS) (Margin)", -NVDA260227C177.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS)",Margin,,2,,,,0.00,53307.95,
03/02/2026,"EXPIRED PUT (IBIT) ISHARES BITCOIN FEB 27 26 $37 as of Feb-27-2026 PUT (IBIT) ISHARES BITCOIN FEB 27 26 $37 (100 SHS) (Margin)", -IBIT260227P37,"PUT (IBIT) ISHARES BITCOIN FEB 27 26 $37 (100 SHS)",Margin,,10,,,,0.00,53307.95,
03/02/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS) (Margin)", -NVDA260306P177.5,"PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS)",Margin,1.8,2,1.3,0.05,,-361.35,53307.95,03/03/2026
03/02/2026,"YOU SOLD OPENING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS) (Margin)", -NVDA260306P177.5,"PUT (NVDA) NVIDIA CORPORATION MAR 06 26 $177.5 (100 SHS)",Margin,3.37,-2,1.3,0.05,,672.65,53669.30,03/03/2026
03/02/2026,"YOU SOLD ASSIGNED CALLS AS OF 02-27-26 NVIDIA CORPORATION COM (NVDA) (Margin)",NVDA,"NVIDIA CORPORATION COM",Margin,177.5,-200,,,,35500,52996.65,03/02/2026
02/27/2026,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.26,,,,-0.26,17496.65,
02/27/2026,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.26,17496.65,
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS) (Margin)", -NVDA260227C177.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS)",Margin,0.41,2,,0.05,,-82.05,17496.39,03/02/2026
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS) (Margin)", -NVDA260227C177.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS)",Margin,0.93,2,1.3,0.05,,-187.35,17578.44,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS) (Margin)", -NVDA260227C177.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS)",Margin,0.1,-2,1,0.05,,18.95,17765.79,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS) (Margin)", -NVDA260227C177.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS)",Margin,0.77,-2,1.3,0.05,,152.65,17746.84,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS) (Margin)", -NVDA260227C177.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $177.5 (100 SHS)",Margin,1.66,-2,1.3,0.05,,330.65,17594.19,03/02/2026
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $182.5 (100 SHS) (Margin)", -NVDA260227C182.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $182.5 (100 SHS)",Margin,0.06,2,,0.05,,-12.05,17263.54,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $182.5 (100 SHS) (Margin)", -NVDA260227C182.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $182.5 (100 SHS)",Margin,0.71,-2,1.3,0.05,,140.65,17275.59,03/02/2026
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $73 (100 SHS) (Margin)", -HOOD260227C73,"CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $73 (100 SHS)",Margin,1.93,5,3.25,0.12,,-968.37,17134.94,03/02/2026
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 19 27 $250 (100 SHS) (Margin)", -NVDA270319C250,"CALL (NVDA) NVIDIA CORPORATION MAR 19 27 $250 (100 SHS)",Margin,15.2,1,0.65,0.02,,-1520.67,18103.31,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 13 26 $80 (100 SHS) (Margin)", -HOOD260313C80,"CALL (HOOD) ROBINHOOD MKTS INC MAR 13 26 $80 (100 SHS)",Margin,2.25,-5,3.25,0.12,,1121.63,19623.98,03/02/2026
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $75 (100 SHS) (Margin)", -HOOD260227C75,"CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $75 (100 SHS)",Margin,0.85,5,3.25,0.12,,-428.37,18502.35,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $75 (100 SHS) (Margin)", -HOOD260227C75,"CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $75 (100 SHS)",Margin,0.43,-5,3.25,0.12,,211.63,18930.72,03/02/2026
02/27/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $190 (100 SHS) (Margin)", -NVDA260227C190,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $190 (100 SHS)",Margin,0.05,2,,0.05,,-10.05,18719.09,03/02/2026
02/27/2026,"YOU SOLD OPENING TRANSACTION PUT (CRWV) COREWEAVE INC COM CL JUN 17 27 $60 (100 SHS) (Margin)", -CRWV270617P60,"PUT (CRWV) COREWEAVE INC COM CL JUN 17 27 $60 (100 SHS)",Margin,18.05,-1,0.65,0.02,,1804.33,18729.14,03/02/2026
02/26/2026,"ASSIGNED as of Feb-25-2026 CALL (IBIT) ISHARES BITCOIN FEB 25 26 $36.5 (100 SHS) (Margin)", -IBIT260225C36.5,"CALL (IBIT) ISHARES BITCOIN FEB 25 26 $36.5 (100 SHS)",Margin,,10,,,,0.00,16924.81,
02/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS) (Margin)", -NVDA260227C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS)",Margin,1.5,2,1.3,0.05,,-301.35,16924.81,02/27/2026
02/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS) (Margin)", -NVDA260227C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS)",Margin,1.99,2,1.3,0.05,,-399.35,17226.16,02/27/2026
02/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS) (Margin)", -NVDA260227C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS)",Margin,2.58,2,1.3,0.05,,-517.35,17625.51,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS) (Margin)", -NVDA260227C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS)",Margin,1.55,-2,1.3,0.05,,308.65,18142.86,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS) (Margin)", -NVDA260227C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS)",Margin,2.26,-2,1.3,0.05,,450.65,17834.21,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS) (Margin)", -NVDA260227C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $187.5 (100 SHS)",Margin,2.35,-2,1.3,0.05,,468.65,17383.56,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 19 27 $130 (100 SHS) (Margin)", -NVDA270319P130,"PUT (NVDA) NVIDIA CORPORATION MAR 19 27 $130 (100 SHS)",Margin,10,-2,1.3,0.05,,1998.65,16914.91,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION PUT (IBIT) ISHARES BITCOIN FEB 27 26 $37 (100 SHS) (Margin)", -IBIT260227P37,"PUT (IBIT) ISHARES BITCOIN FEB 27 26 $37 (100 SHS)",Margin,0.12,-10,6,0.24,,113.76,14916.26,02/27/2026
02/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS) (Margin)", -NVDA260227C185,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS)",Margin,2.12,2,1.3,0.05,,-425.35,14802.50,02/27/2026
02/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS) (Margin)", -NVDA260227C185,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS)",Margin,2.46,2,1.3,0.05,,-493.35,15227.85,02/27/2026
02/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS) (Margin)", -NVDA260227C185,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS)",Margin,2.72,2,1.3,0.05,,-545.35,15721.20,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS) (Margin)", -NVDA260227C185,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS)",Margin,2.39,-2,1.3,0.05,,476.65,16266.55,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS) (Margin)", -NVDA260227C185,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS)",Margin,2.5,-2,1.3,0.05,,498.65,15789.90,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS) (Margin)", -NVDA260227C185,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $185 (100 SHS)",Margin,2.5,-2,1.3,0.05,,498.65,15291.25,02/27/2026
02/26/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $190 (100 SHS) (Margin)", -NVDA260227C190,"CALL (NVDA) NVIDIA CORPORATION FEB 27 26 $190 (100 SHS)",Margin,0.41,-2,1.3,0.05,,80.65,14792.60,02/27/2026
02/26/2026,"YOU SOLD ASSIGNED CALLS AS OF 02-25-26 ISHARES BITCOIN TRUST ETF (IBIT) (Margin)",IBIT,"ISHARES BITCOIN TRUST ETF",Margin,36.5,-1000,,,,36500,14711.95,02/26/2026
02/24/2026,"YOU SOLD OPENING TRANSACTION CALL (IBIT) ISHARES BITCOIN FEB 25 26 $36.5 (100 SHS) (Margin)", -IBIT260225C36.5,"CALL (IBIT) ISHARES BITCOIN FEB 25 26 $36.5 (100 SHS)",Margin,0.4,-10,6.5,0.24,,393.26,-21788.05,02/25/2026
02/24/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $73 (100 SHS) (Margin)", -HOOD260227C73,"CALL (HOOD) ROBINHOOD MKTS INC FEB 27 26 $73 (100 SHS)",Margin,1.88,-5,3.25,0.12,,936.63,-22181.31,02/25/2026
02/23/2026,"EXPIRED CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 as of Feb-20-2026 CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS) (Margin)", -IBIT260220C38.5,"CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS)",Margin,,10,,,,0.00,-23117.94,
02/23/2026,"MARGIN INTEREST as of Feb-22-2026 (Margin)",,"No Description",Margin,,0.000,,,,-341,-23117.94,
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $77 (100 SHS) (Margin)", -HOOD260220C77,"CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $77 (100 SHS)",Margin,0.03,5,,0.12,,-15.12,-22776.94,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $77 (100 SHS) (Margin)", -HOOD260220C77,"CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $77 (100 SHS)",Margin,0.39,-5,3.25,0.12,,191.63,-22761.82,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $76 (100 SHS) (Margin)", -HOOD260220C76,"CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $76 (100 SHS)",Margin,0.21,5,,0.12,,-105.12,-22953.45,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $76 (100 SHS) (Margin)", -HOOD260220C76,"CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $76 (100 SHS)",Margin,0.17,-5,3.25,0.12,,81.63,-22848.33,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $79 (100 SHS) (Margin)", -HOOD260220C79,"CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $79 (100 SHS)",Margin,0.06,5,,0.12,,-30.12,-22929.96,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS) (Margin)", -IBIT260220C38.5,"CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS)",Margin,0.06,10,,0.24,,-60.24,-22899.84,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS) (Margin)", -IBIT260220C38.5,"CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS)",Margin,0.14,-4,2.6,0.1,,53.3,-22839.60,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS) (Margin)", -IBIT260220C38.5,"CALL (IBIT) ISHARES BITCOIN FEB 20 26 $38.5 (100 SHS)",Margin,0.12,-10,6,0.24,,113.76,-22892.90,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,0.63,2,,0.05,,-126.05,-23006.66,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.22,2,1.3,0.05,,-245.35,-22880.61,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.42,2,1.3,0.05,,-285.35,-22635.26,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.44,2,1.3,0.05,,-289.35,-22349.91,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,2.16,2,1.3,0.05,,-433.35,-22060.56,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.04,-2,1.3,0.05,,206.65,-21627.21,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.29,-2,1.3,0.05,,256.65,-21833.86,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.33,-2,1.3,0.05,,264.65,-22090.51,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,1.98,-2,1.3,0.05,,394.65,-22355.16,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS) (Margin)", -NVDA260220C187.5,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $187.5 (100 SHS)",Margin,2.2,-2,1.3,0.05,,438.65,-22749.81,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (IBIT) ISHARES BITCOIN FEB 20 26 $39 (100 SHS) (Margin)", -IBIT260220C39,"CALL (IBIT) ISHARES BITCOIN FEB 20 26 $39 (100 SHS)",Margin,0.03,4,,0.1,,-12.1,-23188.46,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $190 (100 SHS) (Margin)", -NVDA260220C190,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $190 (100 SHS)",Margin,0.17,2,,0.05,,-34.05,-23176.36,02/23/2026
02/20/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $190 (100 SHS) (Margin)", -NVDA260220C190,"CALL (NVDA) NVIDIA CORPORATION FEB 20 26 $190 (100 SHS)",Margin,0.16,-2,1.3,0.05,,30.65,-23142.31,02/23/2026
02/20/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (IBIT) ISHARES BITCOIN FEB 20 26 $40 (100 SHS) (Margin)", -IBIT260220C40,"CALL (IBIT) ISHARES BITCOIN FEB 20 26 $40 (100 SHS)",Margin,0.01,5,,0.12,,-5.12,-23172.96,02/23/2026
02/19/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $79 (100 SHS) (Margin)", -HOOD260220C79,"CALL (HOOD) ROBINHOOD MKTS INC FEB 20 26 $79 (100 SHS)",Margin,0.17,-5,3.25,0.12,,81.63,-23167.84,02/20/2026
