Symbol(CUSIP),Security Description,Date Acquired,Date Sold,Quantity,Cost Basis,Proceeds,Short Term Gain/Loss,Long Term Gain/Loss
NVDA240628C126(7246029SS),CALL (NVDA) NVIDIA CORPORATION JUN 28 24 $126 (100 SHS),2024-06-28,2024-06-28,3,$0.00,$11.32,$11.32, --,
NVDA240628C128(7246039CU),CALL (NVDA) NVIDIA CORPORATION JUN 28 24 $128 (100 SHS),2024-06-28,2024-06-28,3,$3.08,$36.97,$33.89, --,
NVDA240628C130(7246059AS),CALL (NVDA) NVIDIA CORPORATION JUN 28 24 $130 (100 SHS),2024-06-26,2024-06-25,3,$174.08,$273.97,$99.89, --,
NVDA240628P130(7246059EC),PUT (NVDA) NVIDIA CORPORATION JUN 28 24 $130 (100 SHS),2024-06-25,2024-06-20,2,"$1,261.35",$390.63, -$870.72, --,
NVDA240705C127(7246039II),CALL (NVDA) NVIDIA CORPORATION JUL 05 24 $127 (100 SHS),2024-07-05,2024-07-03,3,$120.08,$93.97, -$26.11, --,
NVDA240705C128(7246039SM),CALL (NVDA) NVIDIA CORPORATION JUL 05 24 $128 (100 SHS),2024-07-03,2024-07-02,3,$36.08,$90.97,$54.89, --,
NVDA240712C131(7246069QO),CALL (NVDA) NVIDIA CORPORATION JUL 12 24 $131 (100 SHS),2024-07-12,2024-07-12,3,$111.08,$81.97, -$29.11, --,
NVDA240712C132(7246079UU),CALL (NVDA) NVIDIA CORPORATION JUL 12 24 $132 (100 SHS),2024-07-08,2024-07-05,3,$362.03,$390.95,$28.92, --,
NVDA240712C133(7240749SS),CALL (NVDA) NVIDIA CORPORATION JUL 12 24 $133 (100 SHS),2024-07-09,2024-07-09,3,$584.03,$615.95,$31.92, --,
NVDA240712C133(7240749SS),CALL (NVDA) NVIDIA CORPORATION JUL 12 24 $133 (100 SHS),2024-07-08,2024-07-08,3,$317.03,$330.97,$13.94, --,
NVDA240712C133(7240749SS),CALL (NVDA) NVIDIA CORPORATION JUL 12 24 $133 (100 SHS),2024-07-08,2024-07-08,3,$365.03,$405.95,$40.92, --,
NVDA240712C135(7240759WU),CALL (NVDA) NVIDIA CORPORATION JUL 12 24 $135 (100 SHS),2024-07-11,2024-07-09,3,$413.03,$258.97, -$154.06, --,
NVDA240719C120(7245969CY),CALL (NVDA) NVIDIA CORPORATION JUL 19 24 $120 (100 SHS),2024-07-19,2024-07-19,3,$3.08,$11.32,$8.24, --,
NVDA240719C122(7240649GC),CALL (NVDA) NVIDIA CORPORATION JUL 19 24 $122 (100 SHS),2024-07-19,2024-07-19,3,$3.08,$25.57,$22.49, --,
NVDA240719C123(7240659EA),CALL (NVDA) NVIDIA CORPORATION JUL 19 24 $123 (100 SHS),2024-07-19,2024-07-19,1,$2.03,$6.62,$4.59, --,
NVDA240719C123(7240659EA),CALL (NVDA) NVIDIA CORPORATION JUL 19 24 $123 (100 SHS),2024-07-19,2024-07-19,2,$8.05,$13.25,$5.20, --,
NVDA240719C125(7246019SS),CALL (NVDA) NVIDIA CORPORATION JUL 19 24 $125 (100 SHS),2024-07-19,2024-07-19,3,$9.08,$31.27,$22.19, --,
NVDA240719C140(7240789EY),CALL (NVDA) NVIDIA CORPORATION JUL 19 24 $140 (100 SHS),2024-07-11,2024-07-11,3,$254.03,$516.97,$262.94, --,
NVDA240726C116(7245929OM),CALL (NVDA) NVIDIA CORPORATION JUL 26 24 $116 (100 SHS),2024-07-26,2024-07-26,6,$0.00,$51.14,$51.14, --,
NVDA240726C117(7245939US),CALL (NVDA) NVIDIA CORPORATION JUL 26 24 $117 (100 SHS),2024-07-26,2024-07-26,6,$24.16,$56.84,$32.68, --,
NVDA240726C118(7245939GA),CALL (NVDA) NVIDIA CORPORATION JUL 26 24 $118 (100 SHS),2024-07-26,2024-07-25,6,$24.16,$121.94,$97.78, --,
NVDA240726C128(7240709QM),CALL (NVDA) NVIDIA CORPORATION JUL 26 24 $128 (100 SHS),2024-07-23,2024-07-22,3,$153.08,$321.97,$168.89, --,
NVDA240726C128(7240709QM),CALL (NVDA) NVIDIA CORPORATION JUL 26 24 $128 (100 SHS),2024-07-23,2024-07-22,3,$153.08,$366.95,$213.87, --,
NVDA240802C108(7254419CW),CALL (NVDA) NVIDIA CORPORATION AUG 02 24 $108 (100 SHS),2024-08-02,2024-08-02,6,$258.16,$241.94, -$16.22, --,
NVDA240802C109(7254419BV),CALL (NVDA) NVIDIA CORPORATION AUG 02 24 $109 (100 SHS),2024-08-02,2024-08-02,6,$0.00,$91.94,$91.94, --,
NVDA240802C112(7254429XZ),CALL (NVDA) NVIDIA CORPORATION AUG 02 24 $112 (100 SHS),2024-07-30,2024-07-30,6,$586.06,$691.92,$105.86, --,
NVDA240802C118(7251299MM),CALL (NVDA) NVIDIA CORPORATION AUG 02 24 $118 (100 SHS),2024-07-29,2024-07-29,2,$329.35,$370.63,$41.28, --,
NVDA240802P106(7254419MI),PUT (NVDA) NVIDIA CORPORATION AUG 02 24 $106 (100 SHS),2024-08-02,2024-08-02,1,$57.03,$108.32,$51.29, --,
NVDA240802P107(7254419FZ),PUT (NVDA) NVIDIA CORPORATION AUG 02 24 $107 (100 SHS),2024-08-02,2024-08-01,1,$175.68,$80.32, -$95.36, --,
NVDA240802P112(7254429AA),PUT (NVDA) NVIDIA CORPORATION AUG 02 24 $112 (100 SHS),2024-08-02,2024-08-01,1,$590.68,$57.32, -$533.36, --,
NVDA240809P108(7316289RR),PUT (NVDA) NVIDIA CORPORATION AUG 09 24 $108 (100 SHS),2024-08-06,2024-08-02,1,$530.68,$554.30,$23.62, --,
NVDA240816C150(7240869KI),CALL (NVDA) NVIDIA CORPORATION AUG 16 24 $150 (100 SHS),2024-07-15,2024-07-12,3,$551.03,$669.95,$118.92, --,
NVDA240816P100(7245749SM),PUT (NVDA) NVIDIA CORPORATION AUG 16 24 $100 (100 SHS),2024-07-25,2024-07-24,1,$134.68,$150.32,$15.64, --,
NVDA240823P120(7288259JD),PUT (NVDA) NVIDIA CORPORATION AUG 23 24 $120 (100 SHS),2024-08-23,2024-08-22,1,$16.03,$75.32,$59.29, --,
NVDA240830P110(7301989EC),PUT (NVDA) NVIDIA CORPORATION AUG 30 24 $110 (100 SHS),2024-08-27,2024-08-26,1,$106.67,$135.32,$28.65, --,
NVDA240830P110(7301989EC),PUT (NVDA) NVIDIA CORPORATION AUG 30 24 $110 (100 SHS),2024-08-27,2024-08-26,1,$106.68,$165.32,$58.64, --,
NVDA240830P117(7316289AA),PUT (NVDA) NVIDIA CORPORATION AUG 30 24 $117 (100 SHS),2024-08-30,2024-08-30,3,$0.00,$31.27,$31.27, --,
NVDA240927C124(7359159XV),CALL (NVDA) NVIDIA CORPORATION SEP 27 24 $124 (100 SHS),2024-09-27,2024-09-27,2,$55.46,$116.65,$61.19, --,
NVDA240927C124(7359159XV),CALL (NVDA) NVIDIA CORPORATION SEP 27 24 $124 (100 SHS),2024-09-27,2024-09-27,1,$27.74,$58.32,$30.58, --,
,,,Wash Sale,, -$21.71,$0.00,$21.71, --,
NVDA240927C124(7359159XV),CALL (NVDA) NVIDIA CORPORATION SEP 27 24 $124 (100 SHS),2024-09-27,2024-09-27,1,$37.03,$15.32, -$21.71, --,
,,,Wash Sale,, -$43.41,$0.00,$43.41, --,
NVDA240927C124(7359159XV),CALL (NVDA) NVIDIA CORPORATION SEP 27 24 $124 (100 SHS),2024-09-27,2024-09-27,2,$74.06,$30.65, -$43.41, --,
NVDA240927C124(7359159XV),CALL (NVDA) NVIDIA CORPORATION SEP 27 24 $124 (100 SHS),2024-09-24,2024-09-23,3,$48.08,$105.97,$57.89, --,
NVDA241004C125(7386369RR),CALL (NVDA) NVIDIA CORPORATION OCT 04 24 $125 (100 SHS),2024-10-04,2024-10-04,2,$0.00,$32.64,$32.64, --,
NVDA241004C125(7386369RR),CALL (NVDA) NVIDIA CORPORATION OCT 04 24 $125 (100 SHS),2024-10-04,2024-10-04,1,$0.00,$16.32,$16.32, --,
NVDA241004C128(7386369FD),CALL (NVDA) NVIDIA CORPORATION OCT 04 24 $128 (100 SHS),2024-10-01,2024-09-30,3,$27.08,$99.97,$72.89, --,
NVDA241004P110(7389579PN),PUT (NVDA) NVIDIA CORPORATION OCT 04 24 $110 (100 SHS),2024-10-02,2024-10-02,1,$14.03,$49.32,$35.29, --,
NVDA241004P118(7386369WW),PUT (NVDA) NVIDIA CORPORATION OCT 04 24 $118 (100 SHS),2024-10-04,2024-10-03,2,$10.06,$56.64,$46.58, --,
NVDA241004P120(7386369TR),PUT (NVDA) NVIDIA CORPORATION OCT 04 24 $120 (100 SHS),2024-10-04,2024-10-04,2,$8.06,$30.64,$22.58, --,
NVDA241004P123(7386369OO),PUT (NVDA) NVIDIA CORPORATION OCT 04 24 $123 (100 SHS),2024-10-04,2024-10-04,2,$10.06,$24.64,$14.58, --,
NVDA241004P124(7386369PN),PUT (NVDA) NVIDIA CORPORATION OCT 04 24 $124 (100 SHS),2024-10-04,2024-10-04,2,$0.00,$24.64,$24.64, --,
NVDA241011P122(7395169WU),PUT (NVDA) NVIDIA CORPORATION OCT 11 24 $122 (100 SHS),2024-10-08,2024-10-07,1,$37.03,$51.32,$14.29, --,
NVDA241011P122(7395169WU),PUT (NVDA) NVIDIA CORPORATION OCT 11 24 $122 (100 SHS),2024-10-08,2024-10-07,1,$37.03,$53.32,$16.29, --,
NVDA241011P129(7395169SQ),PUT (NVDA) NVIDIA CORPORATION OCT 11 24 $129 (100 SHS),2024-10-10,2024-10-09,1,$36.03,$59.32,$23.29, --,
NVDA241025P128(7406749JH),PUT (NVDA) NVIDIA CORPORATION OCT 25 24 $128 (100 SHS),2024-10-10,2024-10-09,1,$251.68,$284.32,$32.64, --,
NVDA241025P128(7406749JH),PUT (NVDA) NVIDIA CORPORATION OCT 25 24 $128 (100 SHS),2024-10-10,2024-10-09,1,$251.68,$295.32,$43.64, --,
NVDA241025P129(7406749PP),PUT (NVDA) NVIDIA CORPORATION OCT 25 24 $129 (100 SHS),2024-10-08,2024-10-08,1,$335.68,$379.30,$43.62, --,
NVDA241025P129(7406749PP),PUT (NVDA) NVIDIA CORPORATION OCT 25 24 $129 (100 SHS),2024-10-08,2024-10-08,1,$335.68,$384.30,$48.62, --,
NVDA241025P130(7406769II),PUT (NVDA) NVIDIA CORPORATION OCT 25 24 $130 (100 SHS),2024-10-10,2024-10-10,1,$271.68,$288.32,$16.64, --,
NVDA241025P131(7406749OM),PUT (NVDA) NVIDIA CORPORATION OCT 25 24 $131 (100 SHS),2024-10-11,2024-10-10,1,$248.68,$306.32,$57.64, --,
NVDA241115P130(7246059CY),PUT (NVDA) NVIDIA CORPORATION NOV 15 24 $130 (100 SHS),2024-10-14,2024-10-11,1,$378.68,$544.30,$165.62, --,
NVDA241220C136(7240759UO),CALL (NVDA) NVIDIA CORPORATION DEC 20 24 $136 (100 SHS),2024-12-20,2024-12-20,3,$0.00,$39.99,$39.99, --,
NVDA250117C130(7246059CU),CALL (NVDA) NVIDIA CORPORATION JAN 17 25 $130 (100 SHS),2024-12-18,2024-09-11,2,"$1,621.34","$1,658.59",$37.25, --,
NVDA250117C130(7246059CU),CALL (NVDA) NVIDIA CORPORATION JAN 17 25 $130 (100 SHS),2024-12-18,2024-09-11,1,$810.67,$874.29,$63.62, --,
NVDA250117C140(7240789UO),CALL (NVDA) NVIDIA CORPORATION JAN 17 25 $140 (100 SHS),2024-09-03,2024-08-08,3,"$1,547.03","$1,647.92",$100.89, --,
NVDA250117C140(7240789UO),CALL (NVDA) NVIDIA CORPORATION JAN 17 25 $140 (100 SHS),2024-08-01,2024-07-31,6,"$5,164.06","$5,365.79",$201.73, --,
NVDA250117C145(7276509HF),CALL (NVDA) NVIDIA CORPORATION JAN 17 25 $145 (100 SHS),2024-12-19,2024-12-19,3,"$1,013.01","$1,062.96",$49.95, --,
NVDA250221C150(7246209CC),CALL (NVDA) NVIDIA CORPORATION FEB 21 25 $150 (100 SHS),2024-12-27,2024-12-23,3,"$1,421.01","$1,812.93",$391.92, --,
NVDA250620P110(7245859US),PUT (NVDA) NVIDIA CORPORATION JUN 20 25 $110 (100 SHS),2024-11-05,2024-10-31,1,$850.68,"$1,029.29",$178.61, --,
NVDA250620P110(7245859US),PUT (NVDA) NVIDIA CORPORATION JUN 20 25 $110 (100 SHS),2024-10-16,2024-10-15,1,$975.68,"$1,049.29",$73.61, --,
NVDA250620P110(7245859US),PUT (NVDA) NVIDIA CORPORATION JUN 20 25 $110 (100 SHS),2024-10-16,2024-10-15,1,$975.68,"$1,069.29",$93.61, --,
NVDA250620P80(7245529UU),PUT (NVDA) NVIDIA CORPORATION JUN 20 25 $80 (100 SHS),2024-11-06,2024-11-15,1,$182.68,$205.32,$22.64, --,
NVDA250620P90(7240309CC),PUT (NVDA) NVIDIA CORPORATION JUN 20 25 $90 (100 SHS),2024-11-05,2024-10-31,1,$373.68,$458.30,$84.62, --,
NVDA250815P80(7346969HF),PUT (NVDA) NVIDIA CORPORATION AUG 15 25 $80 (100 SHS),2024-08-08,2024-08-07,1,$970.68,"$1,029.29",$58.61, --,
NVDA250919P100(7245759SS),PUT (NVDA) NVIDIA CORPORATION SEP 19 25 $100 (100 SHS),2024-07-01,2024-06-25,2,"$2,401.35","$2,528.57",$127.22, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-09-26,2024-09-25,2,"$4,199.35","$4,308.53",$109.18, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-09-26,2024-09-19,1,"$2,171.08","$2,154.26", -$16.82, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-09-17,2024-09-11,1,"$1,845.68","$1,864.26",$18.58, --,
,,,Wash Sale,, -$71.40,$0.00,$71.40, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-09-17,2024-09-11,1,"$1,845.67","$1,774.27", -$71.40, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-09-17,2024-09-11,1,"$1,845.68","$1,924.26",$78.58, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-09-06,2024-08-08,3,"$3,812.03","$4,347.84",$535.81, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-08-07,2024-08-06,6,"$8,944.06","$9,475.67",$531.61, --,
NVDA251219C150(7240869QM),CALL (NVDA) NVIDIA CORPORATION DEC 19 25 $150 (100 SHS),2024-08-06,2024-08-06,6,"$9,394.06","$9,685.67",$291.61, --,
NVDA251219P80(7245529SS),PUT (NVDA) NVIDIA CORPORATION DEC 19 25 $80 (100 SHS),2024-09-11,2024-09-03,1,$895.68,$954.29,$58.61, --,
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,2024-11-18,2024-11-15,100,"$6,078.00","$4,736.19", -$1341.81, --,
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,2024-11-18,2024-11-15,100,"$6,681.81","$4,736.20", -$1945.61, --,
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,2024-11-18,2024-11-15,100,"$6,844.87","$4,736.19", -$2108.68, --,
,,,Wash Sale,, -$574.31,$0.00,$574.31, --,
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,2024-11-18,2024-11-15,100,"$6,160.48","$5,586.17", -$574.31, --,
,,,Wash Sale,, -$654.22,$0.00,$654.22, --,
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,2024-11-18,2024-11-15,100,"$6,240.39","$5,586.17", -$654.22, --,
PLTR240816P24(6901719II),PUT (PLTR) PALANTIR AUG 16 24 $24 (100 SHS),2024-07-26,2024-07-24,1,$68.68,$75.32,$6.64, --,
PLTR241115P30(7030349DD),PUT (PLTR) PALANTIR NOV 15 24 $30 (100 SHS),2024-10-02,2024-09-24,1,$55.03,$58.32,$3.29, --,
PLTR241115P30(7030349DD),PUT (PLTR) PALANTIR NOV 15 24 $30 (100 SHS),2024-10-02,2024-09-24,1,$55.03,$63.32,$8.29, --,
PLTR241115P32(7030349BB),PUT (PLTR) PALANTIR NOV 15 24 $32 (100 SHS),2024-10-08,2024-10-07,1,$56.03,$64.32,$8.29, --,
PLTR241115P35(7030349II),PUT (PLTR) PALANTIR NOV 15 24 $35 (100 SHS),2024-10-14,2024-10-11,1,$55.03,$71.32,$16.29, --,
PLTR241115P38(7283689UO),PUT (PLTR) PALANTIR NOV 15 24 $38 (100 SHS),2024-10-23,2024-10-21,1,$107.68,$124.32,$16.64, --,
PLTR241115P40(7066399JJ),PUT (PLTR) PALANTIR NOV 15 24 $40 (100 SHS),2024-11-05,2024-10-25,3,$27.08,$405.95,$378.87, --,
PLTR241115P40(7066399JJ),PUT (PLTR) PALANTIR NOV 15 24 $40 (100 SHS),2024-10-24,2024-10-21,1,$166.68,$194.32,$27.64, --,
PLTR241115P40(7066399JJ),PUT (PLTR) PALANTIR NOV 15 24 $40 (100 SHS),2024-10-24,2024-10-23,1,$166.68,$200.31,$33.63, --,
PLTR241115P40(7066399JJ),PUT (PLTR) PALANTIR NOV 15 24 $40 (100 SHS),2024-10-23,2024-10-23,1,$170.68,$200.31,$29.63, --,
PLTR241115P40(7066399JJ),PUT (PLTR) PALANTIR NOV 15 24 $40 (100 SHS),2024-10-14,2024-10-11,1,$170.68,$207.32,$36.64, --,
PLTR241115P41(7299319AW),PUT (PLTR) PALANTIR NOV 15 24 $41 (100 SHS),2024-10-18,2024-10-15,1,$235.68,$260.32,$24.64, --,
PLTR241115P41(7299319AW),PUT (PLTR) PALANTIR NOV 15 24 $41 (100 SHS),2024-10-18,2024-10-15,1,$235.68,$265.32,$29.64, --,
PLTR250221P50(7409939QM),PUT (PLTR) PALANTIR FEB 21 25 $50 (100 SHS),2024-11-15,2024-11-13,2,$469.35,$540.63,$71.28, --,
PLTR250221P50(7409939QM),PUT (PLTR) PALANTIR FEB 21 25 $50 (100 SHS),2024-11-15,2024-11-13,2,$469.35,$554.63,$85.28, --,
PLTR250221P50(7409939QM),PUT (PLTR) PALANTIR FEB 21 25 $50 (100 SHS),2024-11-15,2024-11-13,1,$234.68,$283.32,$48.64, --,
PLTR270115P50(7420919BX),PUT (PLTR) PALANTIR JAN 15 27 $50 (100 SHS),2024-11-19,2024-11-18,2,"$2,321.35","$2,498.58",$177.23, --,
RIVN(76954A103),RIVIAN AUTOMOTIVE INC COM CL A,2022-10-14,2024-05-03,100,"$3,115.66",$908.81, --, -$2206.85,
RIVN(76954A103),RIVIAN AUTOMOTIVE INC COM CL A,2022-10-03,2024-05-03,100,"$3,149.00",$908.81, --, -$2240.19,
RIVN240426C8.5(7062949BT),CALL (RIVN) RIVIAN AUTOMOTIVE APR 26 24 $8.5 (100 SHS),2024-04-26,2024-04-23,2,$80.05,$114.65,$34.60, --,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2024-02-20,2024-08-16,3,$657.30,$382.79, -$274.51, --,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2024-02-20,2024-08-16,2,$432.40,$255.19, -$177.21, --,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2024-01-02,2024-08-16,10,"$1,879.90","$1,275.96", -$603.94, --,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2021-09-20,2024-08-16,2,$611.50,$255.19, --, -$356.31,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2021-03-05,2024-08-16,3,$687.00,$382.79, --, -$304.21,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2021-03-03,2024-08-16,5,"$1,160.00",$637.98, --, -$522.02,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2021-02-22,2024-08-16,10,"$2,745.00","$1,275.96", --, -$1469.04,
SNOW(833445109),SNOWFLAKE INC. COMMON STOCK,2020-12-09,2024-08-16,5,"$1,830.00",$637.99, --, -$1192.01,
SNOW250620P130(6687769AY),PUT (SNOW) SNOWFLAKE INC CL A JUN 20 25 $130 (100 SHS),2024-11-21,2024-05-28,1,$730.68,"$1,419.28",$688.60, --,
SNOW250620P135(6687769AA),PUT (SNOW) SNOWFLAKE INC CL A JUN 20 25 $135 (100 SHS),2024-05-24,2024-05-23,1,"$1,515.68","$1,619.27",$103.59, --,
TQQQ(74347X831),PROSHARES ULTRAPRO QQQ,2024-12-04,2024-12-04,50,"$4,266.31","$4,279.88",$13.57, --,
TQQQ(74347X831),PROSHARES ULTRAPRO QQQ,2024-12-04,2024-12-04,50,"$4,263.00","$4,279.88",$16.88, --,
TQQQ241220C85(7186839LF),CALL (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $85 (100 SHS),2024-12-20,2024-12-20,1,$96.67,$25.33, -$71.34, --,
TQQQ241220P78(7204229OI),PUT (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $78 (100 SHS),2024-12-20,2024-12-19,1,$0.00,$43.33,$43.33, --,
TQQQ241220P78(7204229OI),PUT (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $78 (100 SHS),2024-12-20,2024-12-19,1,$0.00,$53.33,$53.33, --,
TQQQ241227P85(7527459BB),PUT (TQQQ) PROSHARES ULTRAPRO DEC 27 24 $85 (100 SHS),2024-12-27,2024-12-27,1,$41.02,$53.33,$12.31, --,
TQQQ250117C90(7046649EE),CALL (TQQQ) PROSHARES ULTRAPRO JAN 17 25 $90 (100 SHS),2024-12-27,2024-12-20,1,$151.67,$284.33,$132.66, --,
TSLA(88160R101),TESLA INC COM,2024-04-10,2024-07-25,5,$850.50,"$1,112.92",$262.42, --,
TSLA(88160R101),TESLA INC COM,2024-01-25,2024-07-25,4,$726.40,$890.33,$163.93, --,
TSLA(88160R101),TESLA INC COM,2021-11-09,2024-07-25,3,"$1,020.00",$667.75, --, -$352.25,
TSLA(88160R101),TESLA INC COM,2021-09-10,2024-07-25,3,$737.00,$667.75, --, -$69.25,
TSLA(88160R101),TESLA INC COM,2021-03-05,2024-07-25,6,"$1,150.00","$1,335.50", --,$185.50,
TSLA(88160R101),TESLA INC COM,2021-02-22,2024-07-25,6,"$1,479.93","$1,335.50", --, -$144.43,
TSLA(88160R101),TESLA INC COM,2020-12-21,2024-07-25,3,$653.00,$667.76, --,$14.76,
TSLA(88160R101),TESLA INC COM,2020-12-21,2024-04-29,5,"$1,088.33",$967.74, --, -$120.59,
TSLA(88160R101),TESLA INC COM,2020-12-21,2024-04-29,1,$217.67,$191.09, --, -$26.58,
TSLA(88160R101),TESLA INC COM,2020-12-09,2024-04-29,5,"$1,007.86",$955.49, --, -$52.37,
TSLA(88160R101),TESLA INC COM,2020-12-09,2024-04-29,3,$591.51,$573.30, --, -$18.21,
TSLA(88160R101),TESLA INC COM,2020-12-09,2024-04-29,2,$404.36,$382.20, --, -$22.16,
TSLA(88160R101),TESLA INC COM,2020-12-09,2024-04-29,2,$399.98,$382.20, --, -$17.78,
